[11523:7923271:0916/203605.570983:INFO:components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc:206] No machine level policy manager exists.
[11523:7923271:0916/203606.564445:INFO:CONSOLE:0] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: https://nid.naver.com/nidlogin.login (0)
[11523:7923271:0916/203607.013256:INFO:CONSOLE:2] "Error", source: https://wtm.pstatic.net/d538d2d/f8d35bd15d044a58dbbb.js (2)
[11523:7923355:0916/203609.854533:ERROR:google_apis/gcm/engine/registration_request.cc:291] Registration response error message: DEPRECATED_ENDPOINT
[11531:7923373:0916/203619.761828:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 559079338
[11531:7923373:0916/203619.762118:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 733108593
[11531:7923373:0916/203619.762128:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1104477328
[11531:7923373:0916/203619.762134:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1235441726
[11531:7923373:0916/203619.762140:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1398109417
[11531:7923373:0916/203619.762146:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1745445570
[11531:7923373:0916/203619.762153:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 2629264519
[11531:7923373:0916/203619.762157:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 2928374096
[11531:7923373:0916/203619.762163:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 3162947791
[11531:7923373:0916/203619.762167:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 3189316647
[11523:7923271:0916/203624.090661:INFO:CONSOLE:2] "Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://shopsquare.naver.com') does not match the recipient window's origin ('https://www.naver.com').", source: https://pm.pstatic.net/resources/js/main.67861b24.js?o=www (2)
[11523:7923271:0916/203624.090713:INFO:CONSOLE:2] "Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://recoshopping.naver.com') does not match the recipient window's origin ('https://www.naver.com').", source: https://pm.pstatic.net/resources/js/main.67861b24.js?o=www (2)
[11523:7923355:0916/203639.425929:ERROR:google_apis/gcm/engine/registration_request.cc:291] Registration response error message: QUOTA_EXCEEDED
[11523:7923271:0916/203653.470722:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203657.661480:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203701.078058:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203704.371319:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203706.732685:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203708.736630:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203710.738880:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203711.274478:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[11523:7923271:0916/203712.734740:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203713.257551:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[11523:7923271:0916/203714.714093:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203715.243007:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[11523:7923271:0916/203716.688405:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203717.212622:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[11523:7923271:0916/203729.739887:INFO:CONSOLE:2] "키보드 입력 차단 및 포커스 정리 완료", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.828117:INFO:CONSOLE:2] "=== 최강화된 확인 버튼 찾기 시작 ===", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.828299:INFO:CONSOLE:2] "현재 페이지의 모든 버튼 상황:", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.828643:INFO:CONSOLE:2] "버튼 1: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830263:INFO:CONSOLE:2] "버튼 2: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830400:INFO:CONSOLE:2] "버튼 3: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830534:INFO:CONSOLE:2] "버튼 4: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830658:INFO:CONSOLE:2] "버튼 5: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830788:INFO:CONSOLE:2] "버튼 6: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[11523:7923271:0916/203734.830914:INFO:CONSOLE:2] "버튼 7: [object Object]", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
