[44216:8744629:0917/122946.030975:INFO:components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc:206] No machine level policy manager exists.
[44216:8744629:0917/122947.291753:INFO:CONSOLE:0] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: https://nid.naver.com/nidlogin.login (0)
[44216:8744629:0917/122947.784805:INFO:CONSOLE:2] "Error", source: https://wtm.pstatic.net/d538d2d/f8d35bd15d044a58dbbb.js (2)
[44216:8744727:0917/122951.095345:ERROR:google_apis/gcm/engine/registration_request.cc:291] Registration response error message: DEPRECATED_ENDPOINT
[44216:8744727:0917/123018.097163:ERROR:google_apis/gcm/engine/registration_request.cc:291] Registration response error message: QUOTA_EXCEEDED
[44230:8744752:0917/123020.083115:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 559079338
[44230:8744752:0917/123020.083339:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 733108593
[44230:8744752:0917/123020.083347:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1104477328
[44230:8744752:0917/123020.083353:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1235441726
[44230:8744752:0917/123020.083357:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1398109417
[44230:8744752:0917/123020.083361:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 1745445570
[44230:8744752:0917/123020.083366:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 2629264519
[44230:8744752:0917/123020.083371:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 2928374096
[44230:8744752:0917/123020.083375:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 3162947791
[44230:8744752:0917/123020.083380:WARNING:cc/paint/skottie_wrapper_impl.cc:130] Encountered unknown property node with hash: 3189316647
[44216:8744629:0917/123040.413718:INFO:CONSOLE:2] "Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://shopsquare.naver.com') does not match the recipient window's origin ('https://www.naver.com').", source: https://pm.pstatic.net/resources/js/main.67861b24.js?o=www (2)
[44216:8744629:0917/123040.413748:INFO:CONSOLE:2] "Failed to execute 'postMessage' on 'DOMWindow': The target origin provided ('https://recoshopping.naver.com') does not match the recipient window's origin ('https://www.naver.com').", source: https://pm.pstatic.net/resources/js/main.67861b24.js?o=www (2)
[44216:8744629:0917/123124.670187:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123128.701428:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123132.286533:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123135.773724:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123138.132996:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123140.259197:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123142.619456:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123143.152656:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[44216:8744629:0917/123144.575167:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
[44216:8744629:0917/123145.101653:INFO:CONSOLE:1] "File chooser dialog can only be shown with a user activation.", source: https://editor-static.pstatic.net/e/basic.desktop/1.69.0/se-editor.js?t=1755855480440 (1)
[44216:8744629:0917/123146.586776:INFO:CONSOLE:2] "클립보드 읽기 권한 상태: prompt", source: https://feblog.pstatic.net/real/pc/2025.09.10/js/vendor.cabff38a66e79e50b20b.js (2)
